beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state
Jouster,Goffs Brewery,English Bitter,4,0,Lovely in the sunshine!,The Swan Inn,Gloucester,,51.9421,-2.16369,4.5,9/4/13 19:09,https://untappd.com/c/44088809,https://untappd.com/beer/44210,https://untappd.com/brewery/10583,England,Winchcombe,Tewkesbury
Prophecy,Bath Ales,English Pale Ale,3.8,0,,The Hole In The Wall,Bristol,Bristol,51.4495,-2.59347,4.5,9/5/13 17:22,https://untappd.com/c/44174302,https://untappd.com/beer/446706,https://untappd.com/brewery/1464,England,Bristol,Avon
Gem,Bath Ales,English Bitter,4.1,0,,Three Brothers,Bristol,Bristol,51.4522,-2.59234,4,9/5/13 19:15,https://untappd.com/c/44178983,https://untappd.com/beer/6248,https://untappd.com/brewery/1464,England,Bristol,Avon
Jabberwocky,Triple fff Brewery,Black IPA / Cascadian Dark Ale,5,58,,Sandford Park Alehouse,Cheltenham,Gloucestershire,51.8968,-2.07002,4.5,9/7/13 22:22,https://untappd.com/c/44531813,https://untappd.com/beer/218218,https://untappd.com/brewery/3129,England,"Four Marks, Alton",Hampshire GU34 5HN
Surfers Pale Ale,Penpont Brewery,English Pale Ale,4.2,0,,,,,,,4,9/7/13 22:25,https://untappd.com/c/44532351,https://untappd.com/beer/431432,https://untappd.com/brewery/14508,England,Launceston,Cornwall
"Corona Extra (Coronita, Familiar, Mega)",Grupo Modelo S.A. de C.V.,North American Adjunct Lager,4.6,0,,,,,,,3.75,9/7/13 23:24,https://untappd.com/c/44550328,https://untappd.com/beer/5848,https://untappd.com/brewery/618,Mexico,Mexico City,Distrito Federal
Belgian White,Blue Moon Brewing Company,Witbier,5.4,9,,,,,,,4.25,9/14/13 19:58,https://untappd.com/c/45480054,https://untappd.com/beer/3839,https://untappd.com/brewery/127804,United States,Denver,CO
Freshchester Pale Ale,Captain Lawrence Brewing Company,American Pale Ale,5.5,35,,Courtyard Marriott Tarrytown,Tarrytown,NY,41.0665,-73.8442,4,9/15/13 17:25,https://untappd.com/c/45637630,https://untappd.com/beer/10920,https://untappd.com/brewery/341,United States,Elmsford,NY
Wildeman Farmhouse IPA,Flying Dog Brewery,Saison / Farmhouse Ale,7.5,0,,Bridge View Tavern,Sleepy Hollow,NY,41.0823,-73.8679,4.5,9/15/13 21:34,https://untappd.com/c/45683527,https://untappd.com/beer/43315,https://untappd.com/brewery/540,United States,Frederick,MD
Belgian White,Blue Moon Brewing Company,Witbier,5.4,9,Great with fresh catfish!,Pete's Saloon and Restaurant,Elmsford,NY,41.055,-73.8202,4.25,9/16/13 20:38,https://untappd.com/c/45749709,https://untappd.com/beer/3839,https://untappd.com/brewery/127804,United States,Denver,CO
Singha,Boon Rawd Brewery,Pale Lager,5,20,Not in the same league as the szechuan dumplings!,Water Moon,Rye,NY,40.9841,-73.6848,3,9/17/13 22:22,https://untappd.com/c/45846630,https://untappd.com/beer/6344,https://untappd.com/brewery/152,Thailand,10300 Bangkok,
Freshchester Pale Ale,Captain Lawrence Brewing Company,American Pale Ale,5.5,35,,Bridge View Tavern,Sleepy Hollow,NY,41.0823,-73.8679,4,9/18/13 21:12,https://untappd.com/c/45919860,https://untappd.com/beer/10920,https://untappd.com/brewery/341,United States,Elmsford,NY
Captain's Reserve Imperial IPA,Captain Lawrence Brewing Company,Imperial / Double IPA,9,90,,Bridge View Tavern,Sleepy Hollow,NY,41.0823,-73.8679,3.5,9/18/13 21:14,https://untappd.com/c/45920334,https://untappd.com/beer/5749,https://untappd.com/brewery/341,United States,Elmsford,NY
Hazelnut Brown Nectar,Rogue Ales,American Brown Ale,5.6,33,,Bridge View Tavern,Sleepy Hollow,NY,41.0823,-73.8679,5,9/18/13 21:18,https://untappd.com/c/45920966,https://untappd.com/beer/4179,https://untappd.com/brewery/4565,United States,Newport,OR
Cane and Ebel,Two Brothers Brewing Company,Rye Beer,7,68,Last in a mighty fine flight,Bridge View Tavern,Sleepy Hollow,NY,41.0823,-73.8679,4.5,9/18/13 21:20,https://untappd.com/c/45921475,https://untappd.com/beer/5977,https://untappd.com/brewery/1298,United States,Warrenville,IL
60 Minute IPA,Dogfish Head Craft Brewery,American IPA,6,60,,Finalmente,Sleepy Hollow,NY,41.0852,-73.8601,4,9/19/13 20:58,https://untappd.com/c/46014896,https://untappd.com/beer/3952,https://untappd.com/brewery/459,United States,Milton,DE
Goose IPA,Goose Island Beer Co.,English IPA,5.9,55,,,,,,,3.5,9/21/13 10:14,https://untappd.com/c/46230122,https://untappd.com/beer/1353,https://untappd.com/brewery/2898,United States,Chicago,IL
Twenty Years,Oakham Ales,Blonde Ale,5.8,0,Strong!,Sandford Park Alehouse,Cheltenham,Gloucestershire,51.8968,-2.07002,4,9/25/13 19:11,https://untappd.com/c/46753868,https://untappd.com/beer/440079,https://untappd.com/brewery/931,England,Peterborough,Cambridgeshire
Honey Blonde,Downton Brewery,Golden Ale,4.3,0,,Sandford Park Alehouse,Cheltenham,Gloucestershire,51.8968,-2.07002,4,9/25/13 20:50,https://untappd.com/c/46758789,https://untappd.com/beer/115240,https://untappd.com/brewery/3460,England,Downton,Wiltshire
Fursty Ferret,Hall & Woodhouse (Badger Beers),English Pale Ale,4.4,0,,81 The Prom - Restaurant and Bar,Cheltenham,Gloucestershire,51.8989,-2.07829,4.5,9/25/13 21:33,https://untappd.com/c/46761502,https://untappd.com/beer/8932,https://untappd.com/brewery/1752,England,,
Spitfire Premium Kentish Ale,Shepherd Neame,English Bitter,4.5,0,,The Aviator,Cheltenham,,51.8938,-2.15687,4.5,9/26/13 18:03,https://untappd.com/c/46844310,https://untappd.com/beer/32722,https://untappd.com/brewery/1132,England,Faversham,Kent
Peroni Nastro Azzurro,Birra Peroni,Euro Lager,5.1,0,,La Locanda Del Duca,Eastbourne,East Sussex,50.7662,0.284936,3.5,9/28/13 12:24,https://untappd.com/c/47124461,https://untappd.com/beer/7427,https://untappd.com/brewery/1921,Italy,Roma,RM
Tom Long Organic Amber Bitter,Stroud Brewery,English Bitter,3.8,0,,Whole Foods Market,Cheltenham,Gloucestershire,51.9168,-2.1041,4.5,10/3/13 19:49,https://untappd.com/c/47763514,https://untappd.com/beer/91360,https://untappd.com/brewery/10678,England,"Thrupp, Stroud",Gloucestershire
Dry Sparkling Cider,Severn Cider,Cider,6.3,0,,Whole Foods Market,Cheltenham,Gloucestershire,51.9168,-2.1041,3.5,10/3/13 20:28,https://untappd.com/c/47765853,https://untappd.com/beer/75509,https://untappd.com/brewery/15530,England,Newnham,Gloucestershire
